2,37,38,44,46,2
3,6,7,19,55,26
1,8,19,43,57,4
11,37,42,45,58,5
6,18,55,61,64,18
3,45,50,58,63,12
1,48,59,61,69,12
4,5,45,53,68,20
32,44,53,59,63,7
4,6,25,49,54,1
3,6,30,37,38,9
37,41,47,51,63,1
4,9,19,24,28,24
16,18,33,53,54,24
22,24,40,52,66,2
3,13,30,37,67,9
28,45,47,60,63,14
19,47,48,52,66,7
24,25,30,62,65,17
1,4,7,18,28,21
8,22,32,34,66,11
46,50,59,62,65,8
11,18,22,32,56,6
12,13,22,48,62,6
4,5,22,23,40,19
16,20,36,37,49,20
27,31,35,37,65,4
5,23,33,38,58,3
25,38,48,61,67,13
39,47,49,55,64,8
13,24,31,40,49,8
17,29,51,52,54,1
10,30,43,48,67,12
4,29,33,62,67,1
5,8,35,38,44,23
27,29,51,62,64,4
6,26,36,41,42,8
6,32,37,53,56,3
18,28,30,36,44,20
5,17,35,43,44,13
4,28,36,62,64,22
5,31,60,61,69,8
1,10,25,33,34,17
7,15,18,20,36,7
9,21,57,65,68,19
4,9,15,17,31,14
5,16,19,55,57,22
15,18,22,45,55,18
5,14,16,53,63,24
19,38,45,61,66,10
